process_date,model_id,schema,table_name,type,variable,bin,bin_type,category_value,lb,ub,lower_bound_type,upper_bound_type,count_dev,woe,information_date_column
2025-10-15,1079_cta_lvl,gcprmsbx_work,raw_1079,raw,mean_var_1_6m,1,NUMERIC,,-inf,0.2,-inf,<=,200,0.05,information_date
2025-10-15,1079_cta_lvl,gcprmsbx_work,raw_1079,raw,mean_var_1_6m,2,NUMERIC,,0.2,0.4,>,<=,310,-0.02,information_date
2025-10-15,1079_cta_lvl,gcprmsbx_work,raw_1079,raw,mean_var_1_6m,3,NUMERIC,,0.4,0.6,>,<=,420,0.10,information_date
2025-10-15,1079_cta_lvl,gcprmsbx_work,raw_1079,raw,mean_var_1_6m,4,NUMERIC,,0.6,0.8,>,<=,270,-0.05,information_date
2025-10-15,1079_cta_lvl,gcprmsbx_work,raw_1079,raw,mean_var_1_6m,5,NUMERIC,,0.8,inf,>,inf,300,0.08,information_date
2025-10-15,1079_cta_lvl,gcprmsbx_work,raw_1079,raw,category_city,1,CATEGORICAL,CDMX,,,,,450,0.12,information_date
2025-10-15,1079_cta_lvl,gcprmsbx_work,raw_1079,raw,category_city,2,CATEGORICAL,GDL,,,,,300,-0.08,information_date
2025-10-15,1079_cta_lvl,gcprmsbx_work,raw_1079,raw,category_city,3,CATEGORICAL,MTY,,,,,250,0.03,information_date
2025-10-15,1079_cta_lvl,gcprmsbx_work,raw_1079,raw,category_city,4,CATEGORICAL,OTHER,,,,,150,-0.15,information_date
2025-10-15,1079_cta_lvl,gcprmsbx_work,raw_1079,raw,category_city,5,CATEGORICAL,UNKNOWN,,,,,50,0.05,information_date
2025-10-15,1079_cta_lvl,gcprmsbx_work,input_1079,input,input_var_a,1,NUMERIC,,-inf,20.0,-inf,<=,180,0.04,information_date
2025-10-15,1079_cta_lvl,gcprmsbx_work,input_1079,input,input_var_a,2,NUMERIC,,20.0,40.0,>,<=,520,-0.01,information_date
2025-10-15,1079_cta_lvl,gcprmsbx_work,input_1079,input,input_var_a,3,NUMERIC,,40.0,inf,>,inf,300,-0.10,information_date
2025-10-15,1079_cta_lvl,gcprmsbx_work,transformed_1079,transformed,transformed_var_a,1,NUMERIC,,-inf,-0.5,-inf,<=,210,0.07,information_date
2025-10-15,1079_cta_lvl,gcprmsbx_work,transformed_1079,transformed,transformed_var_a,2,NUMERIC,,-0.5,0.5,>,<=,510,0.00,information_date
2025-10-15,1079_cta_lvl,gcprmsbx_work,transformed_1079,transformed,transformed_var_a,3,NUMERIC,,0.5,inf,>,inf,280,-0.06,information_date
2025-10-15,1079_cta_lvl,mecv,score_1079,score,score,1,NUMERIC,,0.0,0.2,>=,<=,150,0.20,information_date
2025-10-15,1079_cta_lvl,mecv,score_1079,score,score,2,NUMERIC,,0.2,0.4,>,<=,250,0.05,information_date
2025-10-15,1079_cta_lvl,mecv,score_1079,score,score,3,NUMERIC,,0.4,0.6,>,<=,300,-0.05,information_date
2025-10-15,1079_cta_lvl,mecv,score_1079,score,score,4,NUMERIC,,0.6,0.8,>,<=,220,-0.10,information_date
2025-10-15,1079_cta_lvl,mecv,score_1079,score,score,5,NUMERIC,,0.8,1.0,>,<=,180,0.15,information_date
2025-10-15,1079_cta_lvl,gcprmsbx_work,target_1079,target,target,1,CATEGORICAL,0,,,,,700,-0.12,information_date
2025-10-15,1079_cta_lvl,gcprmsbx_work,target_1079,target,target,2,CATEGORICAL,1,,,,,300,0.30,information_date
